Accident_ID,Date,Time,Location,Weather,Road_Type,Vehicle_Type,Driver_Age,Severity,Casualties,Speed_Limit
0,0,1338,3,3,2,3,37,1,2,60
1111,1,1418,0,2,0,1,33,2,2,60
2222,2,755,3,3,2,0,63,1,4,40
3333,3,264,3,0,1,1,56,2,0,40
4444,4,52,1,2,0,3,66,0,3,100
5555,5,1404,1,0,2,1,22,2,1,60
6666,6,797,0,0,1,3,30,2,2,60
7777,7,79,1,0,2,2,66,2,0,40
8888,8,1022,2,0,0,1,55,1,0,100
1,9,473,0,0,2,2,46,1,1,100
112,10,1351,4,2,0,3,21,1,4,100
223,11,1061,4,0,1,3,21,1,3,60
334,12,72,2,1,1,1,29,0,2,100
445,13,172,3,3,2,0,52,0,4,60
556,14,1004,4,0,0,0,60,0,0,40
667,15,352,3,2,2,3,22,1,3,60
778,16,1036,4,3,2,0,63,0,4,60
889,17,746,3,2,1,3,36,2,3,100
1000,18,178,2,0,1,0,51,0,1,40
1112,19,1073,4,2,0,3,66,1,0,80
1223,20,60,1,3,0,0,19,1,0,80
1334,21,1271,2,3,1,0,39,0,4,80
1445,22,44,0,1,0,0,45,2,1,80
1556,23,64,2,1,0,2,56,1,1,40
1667,24,648,3,1,1,3,38,0,2,100
1778,25,895,3,3,2,3,53,0,1,40
1889,26,374,4,3,0,0,51,2,1,60
2000,27,384,2,1,0,3,31,1,0,40
2111,28,433,2,2,0,1,24,2,0,80
2223,29,1355,2,3,2,2,46,2,3,60
2334,30,701,2,3,0,3,58,2,2,80
2445,31,722,1,2,1,1,50,1,4,80
2556,32,1114,2,1,0,3,44,0,0,80
2667,33,1139,4,2,0,1,28,1,4,60
2778,34,1047,0,3,1,3,44,2,3,80
2889,35,159,4,0,0,1,38,1,4,80
3000,36,1308,0,0,2,0,46,1,0,80
3111,37,1124,2,1,1,3,40,0,4,80
3222,38,911,4,3,0,1,62,2,3,80
3334,39,455,0,0,2,3,45,2,2,40
3445,40,553,0,0,0,1,23,1,1,40
3556,41,261,1,2,1,3,20,2,4,100
3667,42,280,4,3,0,3,49,0,0,100
3778,43,270,2,0,0,1,32,2,4,60
3889,44,1088,3,0,2,2,62,1,0,100
4000,45,819,2,1,0,0,25,1,2,80
4111,46,158,2,3,1,0,23,0,1,60
4222,47,1022,2,0,2,2,69,0,1,80
4333,48,940,2,1,2,0,64,1,3,80
4445,49,1131,3,1,2,1,55,2,4,60
4556,50,293,0,3,2,3,52,0,2,100
4667,51,714,1,0,2,3,32,1,0,80
4778,52,1295,4,0,1,1,25,0,3,60
4889,53,1068,3,1,1,1,54,2,4,40
5000,54,975,3,0,2,2,47,0,1,40
5111,55,820,0,2,0,2,54,0,1,80
5222,56,492,0,2,0,0,23,0,2,60
5333,57,776,1,0,1,2,62,2,1,100
5444,58,30,3,1,1,0,31,1,2,80
5556,59,1215,4,1,0,1,22,2,2,40
5667,60,485,0,1,2,2,39,0,3,60
5778,61,371,4,1,0,3,49,0,0,80
5889,62,1342,2,1,1,2,37,2,3,40
6000,63,663,0,0,1,0,19,2,4,100
6111,64,795,4,3,0,2,46,1,1,80
6222,65,1294,4,1,0,1,68,1,3,80
6333,66,1322,1,0,0,0,68,2,1,60
6444,67,1189,4,1,0,3,22,1,1,60
6555,68,1167,4,2,0,0,42,1,3,60
6667,69,487,4,1,0,0,41,2,4,100
6778,70,970,1,1,0,3,42,0,3,40
6889,71,395,2,0,0,2,64,0,4,60
7000,72,1098,0,3,0,0,33,1,1,40
7111,73,696,2,3,2,0,66,2,2,100
7222,74,488,0,1,1,2,51,1,2,60
7333,75,117,1,1,2,2,48,0,4,60
7444,76,198,1,3,0,0,52,1,3,80
7555,77,1415,1,1,0,1,54,2,0,80
7666,78,521,4,3,1,2,38,0,3,80
7778,79,1018,3,1,0,3,33,1,1,80
7889,80,802,2,1,0,0,69,0,2,100
8000,81,180,4,2,0,1,22,0,0,100
8111,82,1049,2,0,0,3,67,1,1,60
8222,83,768,2,1,0,0,37,0,4,80
8333,84,13,2,0,1,0,22,0,1,60
8444,85,101,0,0,0,2,25,0,2,60
8555,86,1161,2,3,2,0,55,1,3,40
8666,87,124,2,2,0,1,69,2,1,40
8777,88,224,0,2,2,1,28,0,0,100
8889,89,659,1,0,1,3,39,1,3,40
9000,90,925,0,3,0,2,34,1,3,60
9043,91,387,4,0,0,0,57,1,2,80
9054,92,729,3,3,1,3,45,0,3,100
9065,93,1308,0,3,2,3,35,2,0,100
9076,94,488,2,2,2,0,47,2,4,80
9087,95,1430,2,1,0,2,25,2,1,40
9098,96,128,1,1,0,2,51,0,2,40
9109,97,590,4,1,0,0,67,1,3,80
9120,98,883,3,2,0,0,43,2,1,40
2,99,133,0,2,2,0,65,1,2,40
13,100,363,4,1,0,3,48,2,1,100
24,101,1019,3,3,0,2,54,2,1,100
35,102,547,2,0,0,0,31,0,3,40
46,103,180,4,1,1,1,51,2,0,40
57,104,335,3,2,1,0,26,2,3,80
68,105,1083,0,1,0,2,41,1,1,60
79,106,789,3,3,2,3,65,0,1,100
90,107,1242,4,2,2,1,65,1,0,60
101,108,1234,1,2,0,3,60,0,2,80
113,109,441,4,0,1,0,26,2,4,60
124,110,1051,1,0,0,0,47,1,1,40
135,111,621,1,1,1,1,47,2,2,40
146,112,875,3,3,0,0,35,1,4,40
157,113,114,1,1,1,0,57,1,1,40
168,114,927,3,3,2,0,21,1,4,100
179,115,362,4,2,0,2,38,2,4,40
190,116,1250,2,3,0,3,19,2,3,60
201,117,600,0,3,1,0,60,2,3,60
212,118,1289,0,1,2,2,23,2,1,40
224,119,837,2,0,2,3,47,0,3,60
235,120,277,0,0,2,1,68,2,4,100
246,121,170,3,2,1,2,21,2,0,40
257,122,327,4,0,1,3,20,0,1,100
268,123,1316,2,0,2,3,56,1,0,60
279,124,981,1,0,2,3,62,0,1,80
290,125,378,4,1,2,3,53,0,4,80
301,126,605,0,1,2,2,47,2,1,100
312,127,1246,0,1,2,1,32,1,2,60
323,128,276,0,0,0,3,23,1,0,40
335,129,756,3,1,1,0,34,1,4,60
346,130,653,1,3,1,2,35,1,1,100
357,131,418,4,0,0,3,50,1,3,60
368,132,355,1,2,0,2,27,0,4,80
379,133,1299,3,0,1,2,33,2,4,80
390,134,124,2,2,2,2,39,2,1,40
401,135,56,4,0,1,1,60,2,3,40
412,136,17,3,3,0,1,46,0,0,100
423,137,1413,1,0,0,0,66,2,1,40
434,138,742,4,0,0,3,18,2,0,80
446,139,868,0,2,2,0,20,1,2,40
457,140,502,0,3,0,3,21,1,0,40
468,141,50,0,0,1,1,38,1,1,60
479,142,60,3,0,1,3,23,0,0,60
490,143,988,3,0,0,3,44,0,0,40
501,144,312,0,3,2,2,57,2,0,100
512,145,1035,4,2,0,1,48,0,4,80
523,146,369,0,1,1,1,62,2,0,80
534,147,274,2,0,0,2,63,2,1,60
545,148,327,2,0,0,3,21,2,3,40
557,149,1010,3,2,0,2,56,1,3,60
568,150,1108,4,3,2,3,47,0,2,80
579,151,153,3,2,1,1,34,1,3,40
590,152,1206,3,3,0,3,54,0,3,100
601,153,365,3,2,2,1,43,0,0,40
612,154,277,4,3,1,2,50,1,1,60
623,155,27,4,3,1,3,31,0,4,100
634,156,1170,0,3,2,1,27,0,2,80
645,157,432,4,3,2,0,33,1,2,60
656,158,889,1,0,1,1,38,0,2,60
668,159,735,4,3,1,0,39,1,4,60
679,160,1276,0,1,2,1,18,1,4,100
690,161,1012,0,3,2,3,50,2,2,60
701,162,589,0,0,0,0,49,1,1,60
712,163,142,1,3,0,3,32,0,2,80
723,164,709,4,0,1,1,58,2,1,60
734,165,1243,0,2,0,1,19,0,2,40
745,166,106,0,1,0,2,46,2,3,100
756,167,1069,3,1,0,3,68,1,4,100
767,168,512,1,0,0,2,31,1,4,80
779,169,524,1,1,2,1,44,2,4,60
790,170,257,2,0,2,1,43,0,4,80
801,171,134,3,0,1,3,35,2,2,60
812,172,1089,4,0,2,0,55,2,3,80
823,173,1299,3,2,2,1,25,0,3,100
834,174,206,2,2,1,1,18,2,3,80
845,175,884,2,0,0,2,62,1,3,100
856,176,1107,0,3,1,1,58,1,3,40
867,177,1320,4,0,2,3,53,0,0,60
878,178,1408,1,2,0,1,69,2,0,40
890,179,223,3,1,2,3,68,2,4,100
901,180,510,3,3,1,1,18,0,0,100
912,181,1365,1,1,2,0,27,2,4,100
923,182,1213,1,2,2,0,67,2,2,40
934,183,1057,3,2,2,2,18,2,4,80
945,184,968,3,3,1,3,26,2,0,100
956,185,503,1,3,2,2,25,0,2,100
967,186,182,2,1,1,3,54,0,0,80
978,187,996,0,2,0,2,26,1,0,80
989,188,2,1,3,2,1,52,1,3,100
1001,189,232,1,0,0,1,48,1,3,80
1012,190,339,0,1,0,2,42,0,0,60
1023,191,713,1,0,1,3,22,2,3,80
1034,192,384,4,2,0,2,43,1,1,100
1045,193,609,4,0,0,3,23,0,0,40
1056,194,19,3,2,1,1,36,0,1,80
1067,195,1383,4,1,1,2,41,1,1,80
1078,196,225,3,3,2,3,57,2,4,60
1089,197,1019,3,1,0,3,21,0,2,60
1100,198,365,0,1,0,1,26,1,3,80
1113,199,710,0,0,0,0,21,0,1,60
